Column1,Column2
42.4,1.550274697
43.5,1.343334761
15.22,0.566238482
49.5,1.509902443
92.2,2.562000933
78.8,2.383925602
39.65,1.055662175
82.9,2.486024159
70.8,2.097500848
61.88,1.914074478
20.8,1.087090099
67,1.958745082
5.6,0.515673691
40.5,1.378662949
65.4,2.417298164
51.6,2.115747081
57.31,1.740278214
18.7,0.545210309
50.38,1.665649289
40.08,1.339023093
34,1.400437711
41.4,1.224508953
40.12,1.816350971
86.9,2.690682171
74.5,2.13599683
14.13,0.796086599
74.8,2.582057602
38.74,1.406825611
42.88,1.650866354
21.72,1.009181996
86.8,2.291102189
25.48,1.267974897
22.13,0.675081535
6.2,0.20298446
8.1,0.489530331
88.34,2.79349973
50.11,1.340434451
48.74,1.923088722
36.96,1.077779625
14.11,0.643960515
9,0.425909914
51.1,1.44381863
37.74,1.671063918
46.9,1.363080264
49.94,1.914972613
35.1,1.54471315
16.1,0.866466737
42.2,1.795460342
29.83,0.847793997
67.21,1.951686018
20.6,0.756957047
56.3,1.67907942
51.62,1.348110167
22.4,1.227059874
48.9,1.705380902
29.3,1.107949538
89,3.046610634
21.3,0.849021196
12.14,0.496823858
2,0.722796804
